Title,Author,Series,Series_Number,Topic/Genre,Location,Coppies
Ups and Downs: A Book About Floating and Sinking,"Cole, Joanna",The Magic School Bus,N/A,N/A,"3rd Grade,  C",1
Frakenstein Doesn't Plant Petunias,"Dadey, Debbie; Jones, Marcia Thornton",The Bailey School Kids,6,N/A,"  3rd Grade,  D",1
Cyclops Doesn't Roller-Skate,"Dadey, Debbie; Jones, Marcia Thornton",The Bailey School Kids,22,N/A,"  3rd Grade,  D",1
Mermaids Don't Run Track,"Dadey, Debbie; Jones, Marcia Thornton",The Bailey School Kids,26,N/A,"  3rd Grade,  D",1
Knights Don't Teach Piano,"Dadey, Debbie; Jones, Marcia Thornton",The Bailey School Kids,29,N/A,"  3rd Grade,  D",1
Frakenstein Doesn't Slam Hockey Pucks,"Dadey, Debbie; Jones, Marcia Thornton",The Bailey School Kids,34,N/A,"  3rd Grade,  D",1
Sea Monsters Don't Ride Motorcycles,"Dadey, Debbie; Jones, Marcia Thornton",The Bailey School Kids,40,N/A,"  3rd Grade,  D",1
Frakenstein Doesn't Start Food Fights,"Dadey, Debbie; Jones, Marcia Thornton",The Bailey School Kids,47,N/A,"  3rd Grade,  D",1
Star Wars: The Origianl Trilogy,Disney,N/A,N/A,N/A,"  3rd Grade,  D",1
The 26-Storey Treehouse,"Denton, Terry; Griffiths, Andy",N/A,N/A,N/A,"  3rd Grade,  D",1
The 13-Storey Treehouse,"Denton, Terry; Griffiths, Andy",N/A,N/A,N/A,"  3rd Grade,  D",1
5 Minute Star Wars Stories,Disney,N/A,N/A,N/A,"  3rd Grade,  D",1
Rabbit's Robber,"Edwards, Pat",Popcorn,N/A,N/A,"   3rd Grade,  E",1
Mr. Mancini's Rats,"Edwards, Pat",Popcorn,N/A,N/A,"   3rd Grade,  E",1
Yasmin the Soccer Star,"Faruqi, Saadia",N/A,N/A,N/A,"    3rd Grade,  F",1
"A,J,'s Rules for School","Gutman, Dan",My Weird School,N/A,N/A,"    3rd Grade,  G",1
Penny,"Gerver, Jane E.",N/A,N/A,N/A,"    3rd Grade,  G",1
Hippopotamister,"Green, John Patrick",N/A,N/A,N/A,"    3rd Grade,  G",2
Knight's of the Round Table,"Gross, Gwen",N/A,N/A,N/A,"    3rd Grade,  G",1
Superman's Guide to the Universe,"Gaff, Jackie",N/A,N/A,N/A,"    3rd Grade,  G",1
Dory Fantasmagory,"Hanlon, Abby",Dory Fantasmagory,1,N/A,"     3rd Grade,  H",1
Yatimah,"Hapka, Catherine",Horse Diaries,6,N/A,"     3rd Grade,  H",1
Shooting Stars,"Hammelef, Danielle S.",N/A,N/A,N/A,"     3rd Grade,  H",1
Hans Christian Adersen's The Little Mermaid,"Hautzig, Deborah",N/A,N/A,N/A,"     3rd Grade,  H",1
Julius: The Baby of the World,"Henkes, Kevin",N/A,N/A,N/A,"     3rd Grade,  H",1
Sable,"Hesse, Karen",N/A,N/A,N/A,"     3rd Grade,  H",1
Sydney & Taylor Explore the Whole Wide World,"Hocking, Deborah",Sydney & Taylor,N/A,N/A,"     3rd Grade,  H",1
Judge Kim and the Kids' Court,"Illidge, Joseph P.; Martinbrough, Shawn; Stone, Milo",N/A,N/A,N/A,"     3rd Grade,  I",1
Perfect the Pig,"Jeschke, Susan",N/A,N/A,N/A,"     3rd Grade,  J",1
Mia Mayhem Is a Superhero!,"West, Kara",Mia Mayhem,1,N/A,"      3rd Grade,  K",1
The Slumber Party Secret,"Keene, Carolyn",the Nancy Drew Notebooks,1,N/A,"      3rd Grade,  K",1
All or Nothing,"Kettle, Phil",The Xtreme World of Billy Kool,1,N/A,"      3rd Grade,  K",1
World's Worst Wedgie,"Krulik, Nancy","George Brown, Class Clown",3,N/A,"      3rd Grade,  K",1
The Chinese New Year Mystery,"Keene, Carolyn",The Nancy Drew Notebooks,39,N/A,"      3rd Grade,  K",1
Jada Jones: Nature Lover,"Lyons, Kelly Starling",Jada Jones,6,N/A,"       3rd Grade,  L",1
José and Feliz Play Fútbol,"López, Silvia; Rose, Susan",N/A,N/A,N/A,"       3rd Grade,  L",1
The Haunted House Next Door,"Miedoso, Andres",Desmond Cole Ghost Patrol,1,N/A,"        3rd Grade, M",1
The New Kid at School,"McMullan, Kate",Dragon Slayers' Academy,1,N/A,"        3rd Grade, M",1
India: The Moonstone Fairy,"Meadows, Daisy",Rainbow Magic (Jewel Fairies),1,N/A,"        3rd Grade, M",1
Ruby: The Red Fairy,"Meadows, Daisy",Rainbow Magic (Rainbow Fairies),1,N/A,"        3rd Grade, M",1
Helena: The Horseriding Fairy,"Meadows, Daisy",Rainbow Magic (Sporty Fairies),1,N/A,"        3rd Grade, M",1
The Incredible Shrinking Kid,"McDonald, Megan",Stink,1,N/A,"        3rd Grade, M",1
Revenge of the Dragon Lady,"McMullan, Kate",Dragon Slayers' Academy,2,N/A,"        3rd Grade, M",1
Scarlett: The Garnet Fairy,"Meadows, Daisy",Rainbow Magic (Jewel Fairies),2,N/A,"        3rd Grade, M",1
Bella: The Bunny Fairy,"Meadows, Daisy",Rainbow Magic (Pet Keeper Fairies),2,N/A,"        3rd Grade, M",1
Amber: The Orange Fairy,"Meadows, Daisy",Rainbow Magic (Rainbow Fairies),2,N/A,"        3rd Grade, M",1
Francesca: The Football Fairy,"Meadows, Daisy",Rainbow Magic (Sporty Fairies),2,N/A,"        3rd Grade, M",1
Evie: The Mist Fairy,"Meadows, Daisy",Rainbow Magic (Weather Fairies),2,N/A,"        3rd Grade, M",1
Class Trip to the Cave of Doom,"McMullan, Kate",Dragon Slayers' Academy,3,N/A,"        3rd Grade, M",1
Emily: The Emerald Fairy,"Meadows, Daisy",Rainbow Magic (Jewel Fairies),3,N/A,"        3rd Grade, M",1
Georgia: The Guinea Pig Fairy,"Meadows, Daisy",Rainbow Magic (Pet Keeper Fairies),3,N/A,"        3rd Grade, M",1
Saffron: The Yellow Fairy,"Meadows, Daisy",Rainbow Magic (Rainbow Fairies),3,N/A,"        3rd Grade, M",1
Zoe: The Skating Fairy,"Meadows, Daisy",Rainbow Magic (Sporty Fairies),3,N/A,"        3rd Grade, M",1
Reach for the Stars,"Mazer, Anne",The Amazing Days of Abby Hayes,3,N/A,"        3rd Grade, M",1
A Wedding for Wiglaf?,"McMullan, Kate",Dragon Slayers' Academy,4,N/A,"        3rd Grade, M",2
Chloe: The Topaz Fairy,"Meadows, Daisy",Rainbow Magic (Jewel Fairies),4,N/A,"        3rd Grade, M",1
Fern: The Green Fairy,"Meadows, Daisy",Rainbow Magic (Rainbow Fairies),4,N/A,"        3rd Grade, M",1
Naomi: The Netball Fairy,"Meadows, Daisy",Rainbow Magic (Sporty Fairies),4,N/A,"        3rd Grade, M",1
Knight for a Day,"McMullan, Kate",Dragon Slayers' Academy,5,N/A,"        3rd Grade, M",2
Amy: The Amethyst Fairy,"Meadows, Daisy",Rainbow Magic (Jewel Fairies),5,N/A,"        3rd Grade, M",1
Samantha: The Swimming Fairy,"Meadows, Daisy",Rainbow Magic (Sporty Fairies),5,N/A,"        3rd Grade, M",1
"Sir Lancelot, Where Are You?","McMullan, Kate",Dragon Slayers' Academy,6,N/A,"        3rd Grade, M",1
Sophie: The Sapphire Fairy,"Meadows, Daisy",Rainbow Magic (Jewel Fairies),6,N/A,"        3rd Grade, M",1
Molly: The Goldfish Fairy,"Meadows, Daisy",Rainbow Magic (Pet Keeper Fairies),6,N/A,"        3rd Grade, M",1
Izzy: The Indigo Fairy,"Meadows, Daisy",Rainbow Magic (Rainbow Fairies),6,N/A,"        3rd Grade, M",1
Alice: The Tennis Fairy,"Meadows, Daisy",Rainbow Magic (Sporty Fairies),6,N/A,"        3rd Grade, M",1
Wheel of Fortune,"McMullan, Kate",Dragon Slayers' Academy,7,N/A,"        3rd Grade, M",1
Lucy: The DIamond Fairy,"Meadows, Daisy",Rainbow Magic (Jewel Fairies),7,N/A,"        3rd Grade, M",1
Penny: The Pony Fairy,"Meadows, Daisy",Rainbow Magic (Pet Keeper Fairies),7,N/A,"        3rd Grade, M",1
Heather: The Violet Fairy,"Meadows, Daisy",Rainbow Magic (Rainbow Fairies),7,N/A,"        3rd Grade, M",1
Countdown to the Year 1000,"McMullan, Kate",Dragon Slayers' Academy,8,N/A,"        3rd Grade, M",2
97 Ways to Train a Dragon,"McMullan, Kate",Dragon Slayers' Academy,9,N/A,"        3rd Grade, M",1
Help! It's Parents Day at DSA,"McMullan, Kate",Dragon Slayers' Academy,10,N/A,"        3rd Grade, M",1
Danger! Wizard at Work,"McMullan, Kate",Dragon Slayers' Academy,11,N/A,"        3rd Grade, M",1
The Ghost of Sir Herbert Dungeonstone,"McMullan, Kate",Dragon Slayers' Academy,12,N/A,"        3rd Grade, M",1
Good Things Come in Small Packages,"Mazer, Anne",The Amazing Days of Abby Hayes,12,N/A,"        3rd Grade, M",1
Beware! It's Friday the 13th,"McMullan, Kate",Dragon Slayers' Academy,13,N/A,"        3rd Grade, M",1
Double Dragon Trouble,"McMullan, Kate",Dragon Slayers' Academy,15,N/A,"        3rd Grade, M",1
World's Oldest Living Dragon,"McMullan, Kate",Dragon Slayers' Academy,16,N/A,"        3rd Grade, M",1
Hail! Hail! Camp Dragononka,"McMullan, Kate",Dragon Slayers' Academy,17,N/A,"        3rd Grade, M",1
Never Trust a Troll,"McMullan, Kate",Dragon Slayers' Academy,18,N/A,"        3rd Grade, M",1
Little Giant -- Big Trouble,"McMullan, Kate",Dragon Slayers' Academy,19,N/A,"        3rd Grade, M",1
Cherry: The Cake  Fairy,"Meadows, Daisy",Rainbow Magic (Party Fairies),1,N/A,"        3rd Grade, M",1
Melodic: The Music Fairy,"Meadows, Daisy",Rainbow Magic (Party Fairies),2,N/A,"        3rd Grade, M",1
Grace: The Glitter Fairy,"Meadows, Daisy",Rainbow Magic (Party Fairies),3,N/A,"        3rd Grade, M",1
Honey: The Sweet Fairy,"Meadows, Daisy",Rainbow Magic (Party Fairies),4,N/A,"        3rd Grade, M",1
Polly: The Party Fun Fairy,"Meadows, Daisy",Rainbow Magic (Party Fairies),5,N/A,"        3rd Grade, M",1
Phoebe: The Fashion Fairy,"Meadows, Daisy",Rainbow Magic (Party Fairies),6,N/A,"        3rd Grade, M",1
Jasmine: The Present Fairy,"Meadows, Daisy",Rainbow Magic (Party Fairies),7,N/A,"        3rd Grade, M",1
Juana & Lucas,"Medina, Juana",N/A,N/A,N/A,"        3rd Grade, M",1
"Sarah, Plain and Tall","MacLachlan, Patricia",N/A,N/A,N/A,"        3rd Grade, M",1
Junie B. Jones and a Little Monkey Business,"Park, Barbara",Junie B. Jones,2,N/A,"         3rd Grade, P",1
junie b. jones and the Yucky Blucky Fruitcake,"Park, Barbara",junie b. jones,5,N/A,"         3rd Grade, P",1
junie b. jones is Not a Crook,"Park, Barbara",junie b. jones,9,N/A,"         3rd Grade, P",1
Junie B. Jones Has a Peep in Her Pocket,"Park, Barbara",Junie B. Jones,15,N/A,"         3rd Grade, P",1
The Tale of Sir Dragon,"Pendziwol, Jean E.",N/A,N/A,N/A,"         3rd Grade, P",1
Aesop's Fables,"Pinkney, Jerry",N/A,N/A,N/A,"         3rd Grade, P",1
The French Fry King,Rogé,N/A,N/A,N/A,"         3rd Grade, R",1
The Van Gogh Cafe,"Rylant, Cynthia",N/A,N/A,N/A,"         3rd Grade, R",1
"Get Into Gear, Stilton!","Stilton, Geronimo",Geronimo Stilton,54,N/A,"         3rd Grade, S",1
If I Ran for President,"Stier, Catherine",N/A,N/A,N/A,"         3rd Grade, S",1
Rotten Teeth,"Simms, Laura",N/A,N/A,N/A,"         3rd Grade, S",1
Can an Aardvark Bark?,"Stewart, Melissa",N/A,N/A,N/A,"         3rd Grade, S",1
Chocolate Fever,"Smith, Robert Kimmel",N/A,N/A,N/A,"         3rd Grade, S",1
The Light at Tern Rock,"Sauer, Julia L.",N/A,N/A,N/A,"         3rd Grade, S",1
My Life as a Stuntboy,"Tashjian, Janet",My Life As A,1,N/A,"         3rd Grade, T",3
My LIfe As A Book,"Tashjian, Janet",My Life As A,2,N/A,"         3rd Grade, T",1
Do Not Open,"Turkle, Brinton",N/A,N/A,N/A,"         3rd Grade, T",1
The Book Report From the Black Lagoon,"Thaler, Mike",The Black Lagoon,N/A,N/A,"         3rd Grade, T",1
The Avengers Storybook Collection,"Various, Marvel",N/A,N/A,N/A,"         3rd Grade, V",1
Bookmarks Are People Too!,"Winkler, Henry; Oliver, Lin",Here's Hank,1,N/A,"        3rd Grade, W",1
"I Got a ""D"" in Salami","Winkler, Henry; Oliver, Lin",Hank Zipzer: The World's Greatest Underachiever,2,N/A,"        3rd Grade, W",1
The Zippity Zinger,"Winkler, Henry; Oliver, Lin",Hank Zipzer: The World's Greatest Underachiever,4,N/A,"        3rd Grade, W",1
The Night I Flunked my FIeld Trip,"Winkler, Henry; Oliver, Lin",Hank Zipzer: The World's Greatest Underachiever,5,N/A,"        3rd Grade, W",1
Holy Enchilada!,"Winkler, Henry; Oliver, Lin",Hank Zipzer: The World's Greatest Underachiever,6,N/A,"        3rd Grade, W",2
Help! Somebody Get Me Out of Fourth Grade!,"Winkler, Henry; Oliver, Lin",Hank Zipzer: The World's Greatest Underachiever,7,N/A,"        3rd Grade, W",1
Summer School! What Genius Thought That Up?,"Winkler, Henry; Oliver, Lin",Hank Zipzer: The World's Greatest Underachiever,8,N/A,"        3rd Grade, W",1
My Secret Life as a Ping-Pong Wizard,"Winkler, Henry; Oliver, Lin",Hank Zipzer: The World's Greatest Underachiever,9,N/A,"        3rd Grade, W",1
My Dog's a Scaredy-Cat: A Halloween Tail,"Winkler, Henry; Oliver, Lin",Hank Zipzer: The World's Greatest Underachiever,10,N/A,"        3rd Grade, W",1
Barfing in the Backseat,"Winkler, Henry; Oliver, Lin",Hank Zipzer: The World's Greatest Underachiever,12,N/A,"        3rd Grade, W",1
Who Ordered This Baby? Definitely Not Me!,"Winkler, Henry; Oliver, Lin",Hank Zipzer: The World's Greatest Underachiever,13,N/A,"        3rd Grade, W",1
The Life of Me (Enter at Your Own Risk),"Winkler, Henry; Oliver, Lin",Hank Zipzer: The World's Greatest Underachiever,14,N/A,"        3rd Grade, W",1
A Tale of Two Trails,"Winkler, Henry; Oliver, Lin",Hank Zipzer: The World's Greatest Underachiever,15,N/A,"        3rd Grade, W",1
Dump Trucks and Dogsleds: I'm on My Way Mom!,"Winkler, Henry; Oliver, Lin",Hank Zipzer: The World's Greatest Underachiever,16,N/A,"        3rd Grade, W",1
Mirabel's Discovery,"Weber, Vicky",Disney Encanto,N/A,N/A,"        3rd Grade, W",2
"My Book of Pickles... Oops, I Mean Lists","Winkler, Henry; Oliver, Lin",Hank Zipzer: The World's Greatest Underachiever,N/A,N/A,"        3rd Grade, W",3
Stuart Little,"White, E. B.",N/A,N/A,N/A,"        3rd Grade, W",1
Never Glue Your Friends to Chairs,"Applegate, Katherine",Roscoe Riley Rules,1,N/A,"4th Grade, A",1
Never Swipe a Bully's Bear,"Applegate, Katherine",Roscoe Riley Rules,2,N/A,"4th Grade, A",1
A Dog on His Own,"Auch, Mary Jane",N/A,N/A,N/A,"4th Grade, A",1
Sounder,"Armstrong, WIlliam H.",N/A,N/A,N/A,"4th Grade, A",1
The World According to Humphrey,"Birney, Betty G.",According to Humphrey,1,N/A,"4th Grade, B",1
Trouble at School for Marvin & James,"Broach, Elise",The Masterpiece Adventures,3,N/A,"4th Grade, B",1
Once Upon a Crime,"Buckley, Michael",The Sisters Grimm,4,N/A,"4th Grade, B",1
Wolf at the Window: A Ghostly Warning,"Baglio, Ben M.",Animal Ark Hauntings,7,N/A,"4th Grade, B",1
Circle of Gold,"Boyd, Candy Dawson",N/A,N/A,N/A,"4th Grade, B",1
How Many Days to America,"Bunting, Eve",N/A,N/A,N/A,"4th Grade, B",1
Tales of a Fourth Grade Nothing,"Blume, Judy",The Fudge Books,N/A,N/A,"4th Grade, B",1
Superfudge,"Blume, Judy",The Fudge Books,N/A,N/A,"4th Grade, B",1
Friendship According to Humphrey,"Birney, Betty G.",According to Humphrey,2,N/A,"4th Grade, B",2
Trouble According to Humphrey,"Birney, Betty G.",According to Humphrey,3,N/A,"4th Grade, B",3
Wonder's First Race,"Campbell, Joanna",Thoroughbred,3,N/A,"4th Grade, C",1
Frindle,"Clements, Andrew",N/A,N/A,N/A,"4th Grade, C",1
Jake Drake: Know-It-All,"Clements, Andrew",N/A,N/A,N/A,"4th Grade, C",3
Attack of the Bayport Police,"Dixon, Frank W.",Hardy Boys Adventures,14,N/A,"4th Grade, D",1
The BFG,"Dahl, Roald",N/A,N/A,N/A,"4th Grade, D",1
Charlie and the Chocolate Factory,"Dahl, Roald",N/A,N/A,N/A,"4th Grade, D",2
Knighthood for Beginners,"Dolan, Elys",N/A,N/A,N/A,"4th Grade, D",2
Dragons in a Bag,"Elliott, Zetta",Dragons in a Bag,1,N/A,"4th Grade, E",1
Substitute Trouble,"English, Karen",Nikki & Deja,N/A,N/A,"4th Grade, E",1
Time to Sleep,"Fleming, Denise",N/A,N/A,N/A,"4th Grade, F",1
Charlie Joe Jackson's Guide to Not Reading,"Greenwald, Tommy",N/A,N/A,N/A,"4th Grade, G",1
Dinotrux: It Takes Teamwork!,"Green, Margaret",N/A,N/A,N/A,"4th Grade, G",1
Sort of Super,"Gapstur, Eric",N/A,N/A,N/A,"4th Grade, G",1
There's an Owl in the Shower,"George, Jean Craighead",N/A,N/A,N/A,"4th Grade, G",2
Rapunzel,"Isadora, Rachel",N/A,N/A,N/A,"4th Grade, I",1
The Secret of the Old Clock,"Keene, Carolyn",Nancy Drew Mystery Stories,1,N/A,"4th Grade, K",1
The Hidden Staircase,"Keene, Carolyn",Nancy Drew Mystery Stories,2,N/A,"4th Grade, K",1
The L.A. Dodger,"Kelly, David A.",Ballpark Mysteries,3,N/A,"4th Grade, K",1
The Ugly Truth,"Kinney, Jeff",Diary of a Wimpy Kid,5,N/A,"4th Grade, K",1
The Case of the Dangerous Solution,"Keene, Carolyn",Nancy Drew,127,N/A,"4th Grade, K",1
Pony Problems/The Cinderella Ballet Mystery,"Keene, Carolyn",Nancy Drew and the Clue Crew,3/4,N/A,"4th Grade, K",1
Case of the Sneaky Snowman/The Fashion Disaster,"Keene, Carolyn",Nancy Drew and the Clue Crew,5/6,N/A,"4th Grade, K",1
"The Circus Scare/Lights, Camera... Cats!","Keene, Carolyn",Nancy Drew and the Clue Crew,7/8,N/A,"4th Grade, K",1
The Halloween Hoax/Ticket Trouble,"Keene, Carolyn",Nancy Drew and the Clue Crew,9/10,N/A,"4th Grade, K",1
Ski School Sneak/Valentine's Day Secret,"Keene, Carolyn",Nancy Drew and the Clue Crew,11/12,N/A,"4th Grade, K",1
Chick-napped!/The Zoo Crew,"Keene, Carolyn",Nancy Drew and the Clue Crew,13/14,N/A,"4th Grade, K",1
Mall Madness/Thanksgiving Thief,"Keene, Carolyn",Nancy Drew and the Clue Crew,15/16,N/A,"4th Grade, K",1
The Bungalow Mystery,"Keene, Carolyn",Nancy Drew Mystery Stories,3,N/A,"4th Grade, K",2
The Deep End,"Kinney, Jeff",Diary of a Wimpy Kid,15,N/A,"4th Grade, K",2
PugNapped! Commander Universe Saves the Day (Sort Of),"Kelley, Marty",N/A,N/A,N/A,"4th Grade, K",5
King of the Office,"Lyons, Kelly Starling",Miles Lewis,1,N/A,"4th Grade, L",1
Whiz Kid,"Lyons, Kelly Starling",Miles Lewis,2,N/A,"4th Grade, L",1
The Haunted Howl,"Luper, Eric",Key Hunters,3,N/A,"4th Grade, L",1
Kristy's Great Idea,"Martin, Ann M.",The Baby-Sitters Club,1,N/A,"4th Grade, M",1
Claudia and the Phantom Phone Calls,"Martin, Ann M.",The Baby-Sitters Club,2,N/A,"4th Grade, M",1
The Truth About Stacey,"Martin, Ann M.",The Baby-Sitters Club,3,N/A,"4th Grade, M",1
Mary Anne Saves the Day,"Martin, Ann M.",The Baby-Sitters Club,4,N/A,"4th Grade, M",1
Dawn and the Impossible Three,"Martin, Ann M.",The Baby-Sitters Club,5,N/A,"4th Grade, M",1
Kristy's Big Day,"Martin, Ann M.",The Baby-Sitters Club,6,N/A,"4th Grade, M",1
Claudia and Mean Janine,"Martin, Ann M.",The Baby-Sitters Club,7,N/A,"4th Grade, M",1
Boy-Crazy Stacey,"Martin, Ann M.",The Baby-Sitters Club,8,N/A,"4th Grade, M",1
The Ghost at Dawn's House,"Martin, Ann M.",The Baby-Sitters Club,9,N/A,"4th Grade, M",1
Logan Likes Mary Anne!,"Martin, Ann M.",The Baby-Sitters Club,10,N/A,"4th Grade, M",1
Kristy and the Snobs,"Martin, Ann M.",The Baby-Sitters Club,11,N/A,"4th Grade, M",1
Claudia and the New Girl,"Martin, Ann M.",The Baby-Sitters Club,12,N/A,"4th Grade, M",1
"Good-bye Stacey, Good-bye","Martin, Ann M.",The Baby-Sitters Club,13,N/A,"4th Grade, M",1
"Hello, Mallory","Martin, Ann M.",The Baby-Sitters Club,14,N/A,"4th Grade, M",1
Little Miss Stoneybrook... and Dawn,"Martin, Ann M.",The Baby-Sitters Club,15,N/A,"4th Grade, M",1
Jessi's Secret Language,"Martin, Ann M.",The Baby-Sitters Club,16,N/A,"4th Grade, M",1
Mary Anne's Bad-luck Mystery,"Martin, Ann M.",The Baby-Sitters Club,17,N/A,"4th Grade, M",1
Stacey's Mistake,"Martin, Ann M.",The Baby-Sitters Club,18,N/A,"4th Grade, M",1
Kristy and the Copycat,"Martin, Ann M.",The Baby-Sitters Club,74,N/A,"4th Grade, M",1
Lucy Lopez: Coding Star,"Mills, Claudia",After-School Superstars,N/A,N/A,"4th Grade, M",1
Vera Vance: Comics Star,"Mills, Claudia",After-School Superstars,N/A,N/A,"4th Grade, M",1
Nixie Ness: Cooking Star,"Mills, Claudia",After-School Superstars,N/A,N/A,"4th Grade, M",1
Boogie Bass: Sign Language Star,"Mills, Claudia",After-School Superstars,N/A,N/A,"4th Grade, M",1
Kasey's First Day of Basketball Practice,"Martin, Kentrell; Martin, Kentrell Jr.",N/A,N/A,N/A,"4th Grade, M",1
A Winnie the Pooh Treasury,"Milne, A. A.",N/A,N/A,N/A,"4th Grade, M",1
Soccer Show-Off,"Maddox, James",N/A,N/A,N/A,"4th Grade, M",1
The Phantom Tollbooth,"Juster, Norton",N/A,N/A,N/A,"4th Grade, N",1
Eating Enchiladas,"Naylor, Phyllis Reynolds",Simply Sarah,N/A,N/A,"4th Grade, N",1
Midnight on the Moon,"Osborne, Mary Pope",Magic Tree House (a Merlin Mission),8,N/A,"4th Grade, O",1
Vacation Under the Volcano,"Osborne, Mary Pope",Magic Tree House,13,N/A,"4th Grade, O",1
Day of the Dragon King,"Osborne, Mary Pope",Magic Tree House,14,N/A,"4th Grade, O",1
Viking Ships at Sunrise,"Osborne, Mary Pope",Magic Tree House,15,N/A,"4th Grade, O",1
Twister on Tuesday,"Osborne, Mary Pope",Magic Tree House,23,N/A,"4th Grade, O",1
Summer of the Sea Serpent,"Osborne, Mary Pope",Magic Tree House,N/A,N/A,"4th Grade, O",1
Season of the Sandstorms,"Osborne, Mary Pope",Magic Tree House (a Merlin Mission),N/A,N/A,"4th Grade, O",1
Dinosaurs Before Dark,"Osborne, Mary Pope",Magic Tree House (a Merlin Mission),1,N/A,"4th Grade, O",2
The Knight at Dawn,"Osborne, Mary Pope",Magic Tree House,2,N/A,"4th Grade, O",2
Revolutionary War on Wednesday,"Osborne, Mary Pope",Magic Tree House,22,N/A,"4th Grade, O",2
Warriors in Winter,"Osborne, Mary Pope",Magic Tree House,31,N/A,"4th Grade, O",2
Late Lunch with Llamas,"Osborne, Mary Pope",Magic Tree House,34,N/A,"4th Grade, O",2
Camp Time in California,"Osborne, Mary Pope",Magic Tree House,35,N/A,"4th Grade, O",2
Rhinos at Recess,"Osborne, Mary Pope",Magic Tree House,37,N/A,"4th Grade, O",2
Mummies in the Morning,"Osborne, Mary Pope",Magic Tree House,3,N/A,"4th Grade, O",3
Dolphins at Daybreak,"Osborne, Mary Pope",Magic Tree House,9,N/A,"4th Grade, O",3
Soccer on Sunday,"Osborne, Mary Pope",Magic Tree House,24,N/A,"4th Grade, O",3
Big Foot and Little Foot,"Potter, Ellen",Big Foot and Little Foot,1,N/A,"4th Grade, P",1
Timmy Failure: Mistakes Were Made,"Pastis, Stephan",Timmy Failure,N/A,N/A,"4th Grade, P",1
Life in the Doghouse,"Robertshaw, Danny; Danta, Ron",N/A,N/A,N/A,"4th Grade, R",1
Murder to Go,"Stine, Megan; Stine, William H.",The 3 Investigators: Crimebusters,2,N/A,"4th Grade, S",1
The Puzzle of the pretty pink handkerchief,"Stanley, George E.",Third Grade Detectives,2,N/A,"4th Grade, S",1
The Girl Who Cried Monster,"Stine, R.L",Goosebumps,8,N/A,"4th Grade, S",1
The Mystery of the Stolen Statue,"Stanley, George E.",Detectives,10,N/A,"4th Grade, S",1
Falling Up,"Silverstein, Shel",N/A,N/A,N/A,"4th Grade, S",1
